amc,folio,pan,scheme,advisor,rta,amfi,date,description,amount,units,nav,balance,type,dividend
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,24-Feb-2013,Purchase - SIP,5000.0,194.97,25.645,6191.733,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,26-Mar-2013,Purchase - SIP,5000.0,195.715,25.5473,6387.448,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,25-Apr-2013,Purchase - SIP,5000.0,198.744,25.158,6586.192,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,25-May-2013,Purchase - SIP,5000.0,197.278,25.345,6783.469,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,24-Jun-2013,Purchase - SIP,5000.0,193.455,25.8459,6976.924,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,24-Jun-2013,STT TAX,2.5,0.0,,6976.924,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,24-Jul-2013,Purchase - SIP,5000.0,192.548,25.9675,7169.472,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,24-Jul-2013,STT TAX,2.5,0.0,,7169.472,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,23-Aug-2013,Purchase - SIP,5000.0,194.301,25.7332,7363.773,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,22-Sep-2013,Purchase - SIP,5000.0,195.761,25.5413,7559.535,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,22-Oct-2013,Purchase - SIP,5000.0,198.959,25.1308,7758.494,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,21-Nov-2013,Purchase - SIP,5000.0,196.383,25.4605,7954.877,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,21-Dec-2013,Purchase - SIP,5000.0,200.017,24.9979,8154.893,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,20-Jan-2014,Purchase - SIP,5000.0,201.126,24.8601,8356.019,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,19-Feb-2014,Purchase - SIP,5000.0,203.325,24.5911,8559.344,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,21-Mar-2014,Purchase - SIP,5000.0,204.296,24.4743,8763.64,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,20-Apr-2014,Purchase - SIP,5000.0,208.13,24.0235,8971.77,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,20-Apr-2014,STAMP DUTY,2.5,0.0,,8971.77,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,20-May-2014,Purchase - SIP,5000.0,203.537,24.5656,9175.307,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,19-Jun-2014,Purchase - SIP,5000.0,200.469,24.9415,9375.777,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,19-Jul-2014,Purchase - SIP,5000.0,200.257,24.9679,9576.034,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,18-Aug-2014,Purchase - SIP,5000.0,196.564,25.437,9772.598,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,18-Aug-2014,STT TAX,2.5,0.0,,9772.598,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,17-Sep-2014,Purchase - SIP,5000.0,193.46,25.8451,9966.058,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,17-Sep-2014,STT TAX,2.5,0.0,,9966.058,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,17-Oct-2014,Purchase - SIP,5000.0,191.712,26.0808,10157.77,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,17-Oct-2014,Dividend Paid,5078.88,0.0,,10157.77,DIVIDEND_PAYOUT,5078.88
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,16-Nov-2014,Purchase - SIP,5000.0,191.639,26.0907,10349.409,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,16-Dec-2014,Purchase - SIP,5000.0,186.429,26.8199,10535.838,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,15-Jan-2015,Purchase - SIP,5000.0,187.503,26.6663,10723.341,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,14-Feb-2015,Purchase - SIP,5000.0,187.393,26.6819,10910.734,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,16-Mar-2015,Purchase - SIP,5000.0,188.51,26.5237,11099.244,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,15-Apr-2015,Purchase - SIP,5000.0,183.318,27.275,11282.562,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,15-Apr-2015,STT TAX,2.5,0.0,,11282.562,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,15-May-2015,Purchase - SIP,5000.0,180.253,27.7388,11462.815,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,14-Jun-2015,Purchase - SIP,5000.0,178.19,28.06,11641.005,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,14-Jun-2015,STAMP DUTY,2.5,0.0,,11641.005,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,14-Jul-2015,Purchase - SIP,5000.0,181.182,27.5966,11822.187,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,13-Aug-2015,Purchase - SIP,5000.0,184.096,27.1597,12006.283,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,13-Aug-2015,STT TAX,2.5,0.0,,12006.283,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,12-Sep-2015,Purchase - SIP,5000.0,183.895,27.1894,12190.179,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,12-Oct-2015,Purchase - SIP,5000.0,179.547,27.8479,12369.726,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,11-Nov-2015,Purchase - SIP,5000.0,182.388,27.414,12552.114,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,11-Dec-2015,Purchase - SIP,5000.0,178.84,27.9579,12730.954,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,10-Jan-2016,Purchase - SIP,5000.0,180.316,27.7291,12911.271,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,10-Jan-2016,STAMP DUTY,2.5,0.0,,12911.271,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,09-Feb-2016,Purchase - SIP,5000.0,176.04,28.4026,13087.311,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,10-Mar-2016,Purchase - SIP,5000.0,177.345,28.1936,13264.656,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,09-Apr-2016,Purchase - SIP,5000.0,175.815,28.4389,13440.471,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,09-May-2016,Purchase - SIP,5000.0,170.731,29.2858,13611.203,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,08-Jun-2016,Purchase - SIP,5000.0,166.079,30.1062,13777.282,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,08-Jun-2016,Dividend Paid,6888.64,0.0,,13777.282,DIVIDEND_PAYOUT,6888.64
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,08-Jul-2016,Purchase - SIP,5000.0,162.799,30.7126,13940.081,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,07-Aug-2016,Purchase - SIP,5000.0,166.051,30.1111,14106.132,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,06-Sep-2016,Purchase - SIP,5000.0,165.249,30.2574,14271.381,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,06-Oct-2016,Purchase - SIP,5000.0,166.721,29.9901,14438.103,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,06-Oct-2016,STT TAX,2.5,0.0,,14438.103,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Nov-2016,Purchase - SIP,5000.0,165.375,30.2344,14603.478,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Nov-2016,STT TAX,2.5,0.0,,14603.478,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Dec-2016,Purchase - SIP,5000.0,166.627,30.0071,14770.105,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Dec-2016,STAMP DUTY,2.5,0.0,,14770.105,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,04-Jan-2017,Purchase - SIP,5000.0,165.15,30.2755,14935.255,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,03-Feb-2017,Purchase - SIP,5000.0,161.383,30.9822,15096.638,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,05-Mar-2017,Purchase - SIP,5000.0,162.691,30.7331,15259.329,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,04-Apr-2017,Purchase - SIP,5000.0,162.342,30.7992,15421.67,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,04-May-2017,Purchase - SIP,5000.0,158.652,31.5156,15580.322,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,03-Jun-2017,Purchase - SIP,5000.0,154.715,32.3176,15735.037,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,03-Jun-2017,STT TAX,2.5,0.0,,15735.037,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,03-Jul-2017,Purchase - SIP,5000.0,156.912,31.8651,15891.948,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,02-Aug-2017,Purchase - SIP,5000.0,152.525,32.7815,16044.473,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,01-Sep-2017,Purchase - SIP,5000.0,150.478,33.2274,16194.951,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,01-Oct-2017,Purchase - SIP,5000.0,151.417,33.0215,16346.368,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,31-Oct-2017,Purchase - SIP,5000.0,153.518,32.5694,16499.886,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,30-Nov-2017,Purchase - SIP,5000.0,156.053,32.0405,16655.939,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,30-Dec-2017,Purchase - SIP,5000.0,156.626,31.9231,16812.565,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-Jan-2018,Purchase - SIP,5000.0,153.857,32.4977,16966.422,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-Jan-2018,Redemption,-110273.96,-3393.284,32.4977,13573.138,REDEMPTION,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,28-Feb-2018,Purchase - SIP,5000.0,151.18,33.0732,13724.317,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,28-Feb-2018,STT TAX,2.5,0.0,,13724.317,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,30-Mar-2018,Purchase - SIP,5000.0,149.932,33.3485,13874.249,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,30-Mar-2018,STAMP DUTY,2.5,0.0,,13874.249,STAMP_DUTY,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-Apr-2018,Purchase - SIP,5000.0,147.898,33.8071,14022.147,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-May-2018,Purchase - SIP,5000.0,150.033,33.326,14172.179,PURCHASE_SIP,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-May-2018,STT TAX,2.5,0.0,,14172.179,STT_TAX,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,29-May-2018,Redemption,-94460.54,-2834.436,33.326,11337.744,REDEMPTION,
HDFC Mutual Fund,AAAA9990,AAAAA1111A,HDFC Flexi Cap Fund - Direct Plan - Growth,DIRECT,CAMS,119062,28-Jun-2018,Purchase - SIP,5000.0,150.02,33.329,11487.763,PURCHASE_SIP,
